"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10537","testDynamicLoadingElementHidden()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.dynamicloading.DynamicLoadingTest","iscteiul.ista.es_5.dynamicloading.DynamicLoadingTest","testDynamicLoadingElementHidden"
"Verifica que o iframe do Vaadin Sampler existe","8040","Validar presença de iframe","","2025-12-05","passed","2025-12-05","","samplerInteraction.InteractionPageTest","samplerInteraction.InteractionPageTest","validarIframeExiste"
"","3364","loginInvalido()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.FormAuthTest","iscteiul.ista.es_5.FormAuthTest","loginInvalido"
"Verifica se elementos HTML básicos existem","8067","Validar presença de HTML na página","","2025-12-05","passed","2025-12-05","","samplerInteraction.InteractionPageTest","samplerInteraction.InteractionPageTest","validarElementosHTML"
"Verifica se a URL da página Interaction é acessível","10054","Validar que a página Interaction carrega","","2025-12-05","passed","2025-12-05","","samplerInteraction.InteractionPageTest","samplerInteraction.InteractionPageTest","validarPaginaCarrega"
"Verifica elementos específicos do Vaadin Sampler","9060","Validar que a aplicação Vaadin está presente","","2025-12-05","passed","2025-12-05","","samplerInteraction.InteractionPageTest","samplerInteraction.InteractionPageTest","validarVaadinPresente"
"Verifica se o título da página contém 'Vaadin'","8047","Validar título da página","","2025-12-05","passed","2025-12-05","","samplerInteraction.InteractionPageTest","samplerInteraction.InteractionPageTest","validarTituloPagina"
"","12706","search()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.MainPageTest","iscteiul.ista.es_5.MainPageTest","search"
"","3160","loginComSucesso()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.FormAuthTest","iscteiul.ista.es_5.FormAuthTest","loginComSucesso"
"Verifica que divs e scripts existem na página","8095","Validar estrutura da página principal","","2025-12-05","passed","2025-12-05","","samplerInteraction.InteractionPageTest","samplerInteraction.InteractionPageTest","validarEstruturaPagina"
"","5355","validarInformacaoDoPrimeiroFilme()","","2025-12-05","passed","2025-12-05","","Database.PageTest","Database.PageTest","validarInformacaoDoPrimeiroFilme"
"","12183","toolsMenu()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.MainPageTest","iscteiul.ista.es_5.MainPageTest","toolsMenu"
"","2980","fileUploadTest()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.HerokuUploadTest","iscteiul.ista.es_5.HerokuUploadTest","fileUploadTest"
"","2728","basicAuthComSucesso()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.BasicAuthTest","iscteiul.ista.es_5.BasicAuthTest","basicAuthComSucesso"
"","4136","dropdownTest()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.HerokuBasicElementsTest","iscteiul.ista.es_5.HerokuBasicElementsTest","dropdownTest"
"","3840","checkboxesTest()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.HerokuBasicElementsTest","iscteiul.ista.es_5.HerokuBasicElementsTest","checkboxesTest"
"","13677","testDynamicLoadingElementRendered()","","2025-12-05","broken","2025-12-05","","iscteiul.ista.es_5.dynamicloading.DynamicLoadingTest","iscteiul.ista.es_5.dynamicloading.DynamicLoadingTest","testDynamicLoadingElementRendered"
"","13956","navigationToAllTools()","","2025-12-05","passed","2025-12-05","","iscteiul.ista.es_5.MainPageTest","iscteiul.ista.es_5.MainPageTest","navigationToAllTools"
